year_month,district,total_monthly_price
2020-07,Bemowo,2147.079295154185
2020-07,Bialoleka,1972.745945945946
2020-07,Bielany,2183.8169014084506
2020-07,Downtown,3138.840190816935
2020-07,Mokotow,2590.152329749104
2020-07,Ochota,2409.6677631578946
2020-07,Praga,2398.0252525252527
2020-07,Southern Praga,2306.308695652174
2020-07,Subburbs,2063.0945945945946
2020-07,Targowek,2112.4965034965035
2020-07,Ursynow,2341.6866666666665
2020-07,Wawer,2062.5652173913045
2020-07,Wilanow,2658.438679245283
2020-07,Wlochy,2308.0731707317073
2020-07,Wola,2762.3821942446043
2020-07,Zoliborz,2464.8937198067633
2020-08,Bemowo,2288.396739130435
2020-08,Bialoleka,1953.7919463087248
2020-08,Bielany,2190.940170940171
2020-08,Downtown,3219.362759643917
2020-08,Mokotow,2613.270214943705
2020-08,Ochota,2403.681992337165
2020-08,Praga,2484.360544217687
2020-08,Southern Praga,2276.194202898551
2020-08,Subburbs,2032.7818181818182
2020-08,Targowek,2125.0
2020-08,Ursynow,2308.6117647058823
2020-08,Wawer,2034.375
2020-08,Wilanow,2668.0
2020-08,Wlochy,2268.550724637681
2020-08,Wola,2747.565976008724
2020-08,Zoliborz,2465.7630057803467
2020-09,Bemowo,2244.4354066985647
2020-09,Bialoleka,1985.950495049505
2020-09,Bielany,2187.134185303514
2020-09,Downtown,3186.0925799863853
2020-09,Mokotow,2631.17703768624
2020-09,Ochota,2400.748538011696
2020-09,Praga,2461.6984126984125
2020-09,Southern Praga,2254.8668224299067
2020-09,Subburbs,2060.107843137255
2020-09,Targowek,2096.341935483871
2020-09,Ursynow,2348.337313432836
2020-09,Wawer,1959.7894736842106
2020-09,Wilanow,2695.3636363636365
2020-09,Wlochy,2297.141025641026
2020-09,Wola,2785.1844181459564
2020-09,Zoliborz,2504.7363636363634
2020-10,Bemowo,2186.2272727272725
2020-10,Bialoleka,1970.557471264368
2020-10,Bielany,2131.796296296296
2020-10,Downtown,3165.5508720930234
2020-10,Mokotow,2560.9332042594388
2020-10,Ochota,2351.449324324324
2020-10,Praga,2507.7892156862745
2020-10,Southern Praga,2245.3543307086616
2020-10,Subburbs,2155.6491228070176
2020-10,Targowek,2012.173076923077
2020-10,Ursynow,2297.4323432343235
2020-10,Wawer,2000.6470588235295
2020-10,Wilanow,2750.9559748427673
2020-10,Wlochy,2214.6329113924053
2020-10,Wola,2721.5833333333335
2020-10,Zoliborz,2457.412935323383
2020-11,Bemowo,2167.227091633466
2020-11,Bialoleka,1950.0803212851406
2020-11,Bielany,2112.5804020100504
2020-11,Downtown,2988.7795064377683
2020-11,Mokotow,2500.5934449093443
2020-11,Ochota,2313.1111111111113
2020-11,Praga,2469.2413793103447
2020-11,Southern Praga,2213.795761078998
2020-11,Subburbs,2121.6475409836066
2020-11,Targowek,1983.175355450237
2020-11,Ursynow,2240.7299270072995
2020-11,Wawer,2004.0666666666666
2020-11,Wilanow,2598.987288135593
2020-11,Wlochy,2135.185185185185
2020-11,Wola,2620.991111111111
2020-11,Zoliborz,2377.3811188811187
2020-12,Bemowo,2163.961832061069
2020-12,Bialoleka,1970.9083665338646
2020-12,Bielany,2144.460704607046
2020-12,Downtown,3014.4923339011925
2020-12,Mokotow,2506.530375426621
2020-12,Ochota,2281.3280839895015
2020-12,Praga,2443.1779359430607
2020-12,Southern Praga,2202.821862348178
2020-12,Subburbs,2072.18115942029
2020-12,Targowek,1948.8291457286432
2020-12,Ursynow,2201.7616707616708
2020-12,Wawer,2047.6666666666667
2020-12,Wilanow,2604.9058295964123
2020-12,Wlochy,2118.494623655914
2020-12,Wola,2602.93816364772
2020-12,Zoliborz,2389.92700729927
2021-01,Bemowo,2142.632727272727
2021-01,Bialoleka,2000.4200743494423
2021-01,Bielany,2172.410994764398
2021-01,Downtown,2943.078794288736
2021-01,Mokotow,2473.5267034990793
2021-01,Ochota,2277.689342403628
2021-01,Praga,2393.9358974358975
2021-01,Southern Praga,2187.285968028419
2021-01,Subburbs,2127.1689189189187
2021-01,Targowek,2035.3990610328638
2021-01,Ursynow,2236.6065573770493
2021-01,Wawer,2014.9183673469388
2021-01,Wilanow,2623.390756302521
2021-01,Wlochy,2064.59649122807
2021-01,Wola,2641.2900113507376
2021-01,Zoliborz,2381.1013986013986
2021-02,Bemowo,2170.5454545454545
2021-02,Bialoleka,2041.2681818181818
2021-02,Bielany,2143.420245398773
2021-02,Downtown,3014.095295536791
2021-02,Mokotow,2513.617478510029
2021-02,Ochota,2378.733333333333
2021-02,Praga,2413.873076923077
2021-02,Southern Praga,2245.3793911007024
2021-02,Subburbs,2145.707142857143
2021-02,Targowek,2011.9570552147238
2021-02,Ursynow,2274.4241645244215
2021-02,Wawer,2142.682926829268
2021-02,Wilanow,2670.018018018018
2021-02,Wlochy,2153.035294117647
2021-02,Wola,2699.2176165803107
2021-02,Zoliborz,2415.7773279352227
